Trainer,Format,Fight Gimmick,Slot,Role,Pokemon,Level,Item,Ability,Move 1,Move 2,Move 3,Move 4,Notes
Roxanne,Singles,Stealth Rock at start,1,Lead,Glimmet,13,,Toxic Debris,Rock Throw,Smack Down,Toxic Spikes,Harden,
Roxanne,Singles,Stealth Rock at start,2,,Rolycoly,13,,Steam Engine,Smack Down,Rapid Spin,Smokescreen,Tackle,
Roxanne,Singles,Stealth Rock at start,3,,Aron,14,,Sturdy,Rock Tomb,Metal Claw,Protect,Harden,
Roxanne,Singles,Stealth Rock at start,4,Ace,Nosepass,15,Oran Berry,Sturdy,Rock Tomb,Thunder Wave,Block,Tackle,
Brawly,Singles,—,1,,Makuhita,16,,Guts,Arm Thrust,Bulk Up,Knock Off,Rock Tomb,
Brawly,Singles,—,2,,Mienfoo,17,,Regenerator,Drain Punch,U-turn,Fake Out,Swift,
Brawly,Singles,—,3,,Stufful,17,,Fluffy,Brick Break,Brutal Swing,Baby-Doll Eyes,Protect,
Brawly,Singles,—,4,Ace,Riolu,19,Eviolite,Inner Focus,Force Palm,Bite,Bulk Up,Quick Attack,
Wattson,Singles,Electric Terrain at start,1,,Stunfisk,21,,Static,Earth Power,Thunder Wave,Yawn,Mud Shot,
Wattson,Singles,Electric Terrain at start,2,,Morpeko,21,,Hunger Switch,Spark,Bite,Fake Out,Quick Attack,
Wattson,Singles,Electric Terrain at start,3,,Kilowattrel,22,,Wind Power,Volt Switch,Air Cutter,Thunder Wave,Growl,
Wattson,Singles,Electric Terrain at start,4,Paradox,Iron Thorns,22,Sitrus Berry,Quark Drive,Rock Slide,Thunder Fang,Iron Defense,Screech,Nerfed: no EQ/Wild Charge
Wattson,Singles,Electric Terrain at start,5,Ace,Manectric,23,Electrium Z,Lightning Rod,Thunderbolt,Snarl,Flame Burst,Charge Beam,Z-Move showcase
Flannery,Singles,Sun via Torkoal Drought,1,Lead,Torkoal,26,Heat Rock,Drought,Lava Plume,Stealth Rock,Clear Smog,Body Press,
Flannery,Singles,Sun via Torkoal Drought,2,,Arcanine,27,,Intimidate,Fire Fang,Extreme Speed,Will-O-Wisp,Morning Sun,
Flannery,Singles,Sun via Torkoal Drought,3,,Centiskorch,27,,Flash Fire,Fire Lash,Bug Bite,Coil,Knock Off,
Flannery,Singles,Sun via Torkoal Drought,4,,Turtonator,28,,Shell Armor,Incinerate,Dragon Tail,Iron Defense,Protect,
Flannery,Singles,Sun via Torkoal Drought,5,,Houndoom,28,,Flash Fire,Dark Pulse,Fire Fang,Will-O-Wisp,Snarl,
Flannery,Singles,Sun via Torkoal Drought,6,Ace,Scovillain,29,Scovillainite,Chlorophyll → Mega Spicy Spray,Overheat,Energy Ball,Growth,Stomping Tantrum,NPC Mega before player Mega Ring
Norman,Doubles,Galar Weezing + Slaking (intentionally hard),1,Lead,Weezing-Galar,29,Black Sludge,Neutralizing Gas,Strange Steam,Will-O-Wisp,Protect,Destiny Bond,Suppresses Truant
Norman,Doubles,Galar Weezing + Slaking (intentionally hard),2,Lead partner,Cinccino,29,,Skill Link,Tail Slap,Rock Blast,Bullet Seed,Encore,
Norman,Doubles,Galar Weezing + Slaking (intentionally hard),3,,Tauros,30,,Intimidate,Rock Climb,Zen Headbutt,Close Combat,Protect,
Norman,Doubles,Galar Weezing + Slaking (intentionally hard),4,,Exploud,30,,Soundproof,Hyper Voice,Fire Blast,Ice Beam,Protect,
Norman,Doubles,Galar Weezing + Slaking (intentionally hard),5,Mega,Kangaskhan,31,Kangaskhanite,Scrappy → Mega Parental Bond,Fake Out,Body Slam,Crunch,Power-Up Punch,
Norman,Doubles,Galar Weezing + Slaking (intentionally hard),6,Ace,Slaking,31,Life Orb,Truant (suppressed by Weezing),Giga Impact,Earthquake,Sucker Punch,Slack Off,Intentionally OP
Winona,Singles,Tailwind (opponent) at start,1,,Staraptor,34,,Intimidate,Brave Bird,Close Combat,U-turn,Double-Edge,
Winona,Singles,Tailwind (opponent) at start,2,,Gligar,34,Eviolite,Immunity,Earthquake,Aerial Ace,Roost,Knock Off,
Winona,Singles,Tailwind (opponent) at start,3,,Talonflame,35,,Gale Wings,Acrobatics,Flare Blitz,Roost,Will-O-Wisp,
Winona,Singles,Tailwind (opponent) at start,4,,Noivern,35,,Infiltrator,Air Slash,Dragon Pulse,Super Fang,Roost,
Winona,Singles,Tailwind (opponent) at start,5,,Altaria,36,,Natural Cure,Dragon Pulse,Roost,Cotton Guard,Earthquake,
Winona,Singles,Tailwind (opponent) at start,6,Ace,Pidgeot,36,Pidgeotite,Keen Eye → Mega No Guard,Hurricane,Heat Wave,U-turn,Protect,
Tate & Liza,Doubles,Psychic Terrain at start + Expanding Force,1,Lead,Indeedee-F,46,Focus Sash,Psychic Surge,Expanding Force,Follow Me,Heal Pulse,Protect,Backup terrain setter
Tate & Liza,Doubles,Psychic Terrain at start + Expanding Force,2,Lead,Armarouge,46,Life Orb,Flash Fire,Expanding Force,Armor Cannon,Aura Sphere,Protect,
Tate & Liza,Doubles,Psychic Terrain at start + Expanding Force,3,,Bronzong,47,,Levitate,Expanding Force,Gyro Ball,Hypnosis,Protect,
Tate & Liza,Doubles,Psychic Terrain at start + Expanding Force,4,,Gothitelle,47,,Shadow Tag,Psychic,Thunderbolt,Protect,Helping Hand,
Tate & Liza,Doubles,Psychic Terrain at start + Expanding Force,5,Z-Move,Malamar,48,Darkinium Z,Contrary,Superpower,Psycho Cut,Knock Off,Topsy-Turvy,
Tate & Liza,Doubles,Psychic Terrain at start + Expanding Force,6,Ace,Gallade,48,Galladite,Justified → Mega Inner Focus,Psycho Cut,Close Combat,Shadow Sneak,Wide Guard,
Juan,Singles,Primordial Sea at start,1,,Slowking,55,,Regenerator,Scald,Slack Off,Future Sight,Yawn,
Juan,Singles,Primordial Sea at start,2,,Walrein,55,Leftovers,Thick Fat,Surf,Toxic,Protect,Rest,
Juan,Singles,Primordial Sea at start,3,,Kingdra,56,Life Orb,Swift Swim,Hydro Pump,Dragon Pulse,Ice Beam,Flip Turn,
Juan,Singles,Primordial Sea at start,4,,Basculegion,57,,Swift Swim,Wave Crash,Aqua Jet,Crunch,Flip Turn,
Juan,Singles,Primordial Sea at start,5,,Milotic,58,Leftovers,Marvel Scale,Scald,Recover,Haze,Ice Beam,
Juan,Singles,Primordial Sea at start,6,Ace,Gyarados,56,Gyaradosite,Intimidate → Mega Mold Breaker,Waterfall,Crunch,Earthquake,Dragon Dance,
Sidney,Singles,Prankster / screens package,1,Lead,Grimmsnarl,59,Light Clay,Prankster,Reflect,Light Screen,Thunder Wave,Spirit Break,
Sidney,Singles,Prankster / screens package,2,,Weavile,59,Focus Sash,Pressure,Knock Off,Ice Shard,Triple Axel,Low Kick,
Sidney,Singles,Prankster / screens package,3,,Bisharp,60,,Defiant,Sucker Punch,Iron Head,Swords Dance,Knock Off,
Sidney,Singles,Prankster / screens package,4,,Hydreigon,60,,Levitate,Dark Pulse,Draco Meteor,Fire Blast,U-turn,
Sidney,Singles,Prankster / screens package,5,,Mandibuzz,61,Rocky Helmet,Overcoat,Foul Play,Roost,Toxic,U-turn,
Sidney,Singles,Prankster / screens package,6,Ace,Tyranitar,61,Tyranitarite,Sand Stream → Mega Sand Stream,Crunch,Stone Edge,Fire Punch,Stealth Rock,
Phoebe,Doubles,Trick Room + Shedinja @ Heavy-Duty Boots,1,Lead,Dusclops,61,Eviolite,Frisk,Trick Room,Will-O-Wisp,Night Shade,Protect,
Phoebe,Doubles,Trick Room + Shedinja @ Heavy-Duty Boots,2,Lead,Shedinja,61,Heavy-Duty Boots,Wonder Guard,Shadow Sneak,X-Scissor,Will-O-Wisp,Protect,
